station,date,time,temp,dewp,stp,slp,visib,wdsp,prcp,sndp,cldc,wnddir,frost,rain,snow,hail,thunder,tornado
286880,2019-01-30,17:02:59,-18.94,-21.300001,1014.2065,1024.2251,16.650002,11.215,0.009999995,14.299992,50.064995,0,1,1,1,0,0,0
160880,2019-01-30,17:02:59,5.084999,0.99166733,1011.8645,1024.1006,5.300001,5.173334,0.0,0.09999994,50.05501,0,0,0,1,0,0,0
476290,2019-01-30,17:02:59,-2.1433322,-7.3849998,1008.6634,1012.3603,36.708332,11.464997,0.04999997,0.0,50.26332,0,1,1,0,0,0,0
30260,2019-01-30,17:02:59,5.9500003,3.5499983,1012.9281,1010.5,22.92167,23.080004,0.32999995,0.0,50.579998,0,0,1,0,0,0,0
31590,2019-01-30,17:02:59,3.036667,2.52,1050.86,1037.8452,12.766666,12.391664,0.0,0.0,72.46496,0,0,0,0,0,0,0
523130,2019-01-30,17:02:59,-19.400002,-26.979988,923.5933,914.5517,48.633327,5.0333333,0.0,0.0,48.698322,0,1,0,0,0,0,0
766793,2019-01-30,17:02:59,6.099997,-6.7200017,1003.3867,1004.69946,14.22833,9.214999,0.17000005,0.0,50.05668,0,0,1,0,0,0,0
727180,2019-01-30,17:02:59,-9.853337,-15.273329,1007.29034,1011.66815,27.603338,12.971667,0.069999985,41.100002,56.723312,0,1,1,1,0,0,0
915650,2019-01-30,17:02:59,5.463334,0.11999997,1038.2902,1007.5,27.980013,9.6083355,0.0,0.0,27.211662,0,0,0,0,0,0,0
766790,2019-01-30,17:02:59,2.7033343,-8.06667,780.5,1014.5,10.495001,5.999999,0.0,0.0,69.411644,0,0,0,0,0,0,0
637140,2019-01-30,17:02:59,17.715008,3.5883343,988.9566,990.67365,25.62167,14.495,0.0,0.0,32.80668,0,0,0,0,0,0,0
524460,2019-01-30,17:02:59,-14.303338,-24.49832,939.29865,1035.8628,38.52,11.528335,0.0,0.0,43.38167,0,1,0,0,0,0,0
548430,2019-01-30,17:02:59,-6.8266687,-16.139997,1027.6536,1029.0,17.913336,13.703336,0.009999995,0.0,60.283333,0,1,1,0,0,0,0
259270,2019-01-30,17:02:59,-14.104999,-17.420006,1003.56555,1009.9566,35.968338,15.0183325,0.40999988,20.900013,66.10334,0,1,1,1,0,0,0
916990,2019-01-30,17:02:59,24.820002,23.413326,1013.278,1011.1006,32.138336,22.413332,0.03999998,0.0,52.913322,0,0,1,0,0,0,0
319420,2019-01-30,17:02:59,-25.13834,-29.799992,995.86194,1019.1006,47.45498,3.7849998,0.0,0.0,95.78169,0,1,0,0,0,0,0
206740,2019-01-30,17:02:59,-22.83332,-24.45,1015.0,1015.3236,15.57167,24.43667,0.069999985,8.299994,50.560017,0,1,1,1,0,0,0
513790,2019-01-30,17:02:59,-22.983334,-26.21332,1022.6963,1038.7396,24.541662,7.1550007,0.009999995,0.0,50.721653,0,1,1,0,0,0,0
408110,2019-01-30,17:02:59,9.54667,4.303332,1013.80054,1016.5,3.2249987,5.9166675,0.0,0.0,45.478348,0,0,0,0,0,0,0
421110,2019-01-30,17:02:59,8.308333,3.215001,937.63385,1016.2452,4.146667,2.146666,0.03999998,0.0,50.67834,0,0,1,0,0,0,0
349290,2019-01-30,17:02:59,-2.4799998,-5.086667,1016.5656,1017.8994,9.5583315,17.09333,0.11000002,1.5999991,50.330006,0,1,1,1,0,0,0
764120,2019-01-30,17:02:59,11.259998,4.393332,1011.1978,1014.30054,15.963331,7.720001,0.0,0.0,15.183339,0,0,0,0,0,0,0
273550,2019-01-30,17:02:59,-8.56,-10.926662,1016.3994,1018.66815,17.93,12.165,0.069999985,6.799997,95.75837,0,1,1,1,0,0,0
764125,2019-01-30,17:02:59,13.194993,3.6633337,999.79816,993.06683,10.948332,8.416666,0.0,0.0,39.37501,0,0,0,0,0,0,0
30250,2019-01-30,17:02:59,6.320002,3.8466654,1007.80054,1012.30884,26.823334,31.975004,0.0,0.0,61.46668,0,0,0,0,0,0,0
81840,2019-01-30,17:02:59,11.749994,6.4800005,1007.95795,1017.0,9.306665,9.115001,0.3100001,0.0,50.374992,0,0,1,0,0,0,0
104700,2019-01-30,17:02:59,1.4583334,-0.9750005,1024.1847,1020.88776,5.470001,15.323338,0.22000004,0.0,73.13501,0,0,1,0,0,0,0
727170,2019-01-30,17:02:59,-5.31,-9.650004,1006.42474,1008.93695,23.278332,8.710002,0.13999997,21.300001,89.20501,0,1,1,1,0,0,0
93850,2019-01-30,17:02:59,1.5766666,-0.4416666,1007.37164,1014.80054,7.329996,15.135003,0.09000002,0.79999954,50.104996,0,0,1,1,0,0,0
262890,2019-01-30,17:02:59,-11.756664,-14.050008,1031.7787,1026.7871,8.848333,2.9650006,0.0,0.0,89.426636,0,1,0,0,0,0,0
206750,2019-01-30,17:02:59,-35.62502,-39.245,1017.7723,1020.2921,21.58167,12.626667,0.0,10.658341,50.028328,0,1,0,1,0,0,0
723601,2019-01-30,17:02:59,-2.5,-11.440004,974.7538,1020.3994,30.766663,14.406664,0.09000002,0.0,72.59499,0,1,1,0,0,0,0
723600,2019-01-30,17:02:59,-4.789999,-13.581665,901.16003,1014.58044,15.551667,20.63333,0.009999995,0.0,50.091667,0,1,1,0,0,0,0
724930,2019-01-30,17:02:59,5.699998,1.3866669,1009.3994,1009.1979,18.678337,13.789996,0.03999998,0.0,79.23002,0,0,1,0,0,0,0
297560,2019-01-30,17:02:59,-22.949993,-27.966652,1002.70795,1037.0065,29.675001,0.9333336,0.09000002,5.6000032,50.81835,0,1,1,1,0,0,0
488260,2019-01-30,17:02:59,11.73334,8.679997,1009.3994,1018.8994,7.371669,6.560001,0.0,0.0,66.53336,0,0,0,0,0,0,0
30240,2019-01-30,17:02:59,7.07,4.484999,996.7497,1002.13837,29.223333,36.05,0.0,0.0,33.256664,0,0,0,0,0,0,0
724927,2019-01-30,17:02:59,0.8583333,-3.3366656,1024.4921,1021.8994,15.421662,7.760001,0.009999995,0.0,77.30332,0,0,1,0,0,0,0
724926,2019-01-30,17:02:59,2.8516667,-0.80499995,1008.5537,1012.77515,11.401668,9.296666,0.009999995,0.0,50.91833,0,0,1,0,0,0,0
157260,2019-01-30,17:02:59,-0.21000011,-6.0333333,822.60034,821.5033,29.676657,9.92833,0.15999992,32.80002,66.17501,0,1,1,1,0,0,0
29240,2019-01-30,17:02:59,-3.4300017,-5.5383315,1009.11676,1014.80054,14.600002,7.528333,0.059999958,15.900009,56.08836,0,1,1,1,0,0,0
307410,2019-01-30,17:02:59,-22.658337,-24.768328,968.47626,1026.0253,28.796663,12.86,0.04999997,12.599995,84.52334,0,1,1,1,0,0,0
170220,2019-01-30,17:02:59,3.9816678,-2.459999,1015.5516,1017.9983,14.740005,13.878333,0.37999982,0.39999977,83.70668,0,0,1,1,0,0,0
171550,2019-01-30,17:02:59,2.090001,-0.76333344,899.0068,1012.1962,12.991668,4.8016663,0.069999985,0.0,50.62333,0,0,1,0,0,0,0
247260,2019-01-30,17:02:59,-27.325,-29.18001,1000.12317,991.83636,9.809999,8.693334,0.0,0.0,65.52168,0,1,0,0,0,0,0
42210,2019-01-30,17:02:59,-3.7499998,-8.791668,1000.30054,1004.5938,23.0,13.874996,0.0,0.0,27.88334,0,1,0,0,0,0,0
121250,2019-01-30,17:02:59,-2.06,-4.1733346,1034.3547,1022.50507,7.6133347,11.185,0.15999992,3.1000013,77.20169,0,1,1,1,0,0,0
724920,2019-01-30,17:02:59,2.4066672,-0.8199995,1017.9984,1019.1006,20.415,9.668333,0.09999994,0.0,50.376656,0,0,1,0,0,0,0
423790,2019-01-30,17:02:59,11.895004,7.133337,1042.8383,1017.19946,5.881665,4.918335,0.0,0.0,91.43833,0,0,0,0,0,0,0
724917,2019-01-30,17:02:59,4.7000017,0.8400004,1015.45496,1020.277,30.35333,8.560002,0.09000002,0.0,73.17835,0,0,1,0,0,0,0
724916,2019-01-30,17:02:59,1.5483328,-5.7633343,997.86316,1019.12854,31.98833,10.761663,0.0,0.0,16.349998,0,0,0,0,0,0,0
724915,2019-01-30,17:02:59,4.9933333,0.30000004,1006.5316,1008.0248,21.626673,9.528335,0.059999958,0.0,90.97336,0,0,1,0,0,0,0
30230,2019-01-30,17:02:59,7.5150013,4.658331,984.8582,989.5899,9.843331,56.80502,0.26000017,0.0,58.253334,0,0,1,0,0,0,0
157250,2019-01-30,17:02:59,-3.0,-9.033334,807.23627,802.23004,33.38668,12.4266615,0.0,21.300001,96.515015,0,1,0,1,0,0,0
970480,2019-01-30,17:02:59,22.130005,17.859995,1033.2716,1009.1006,10.333332,5.543334,0.0,0.0,9.254996,0,0,0,0,0,0,0
915680,2019-01-30,17:02:59,12.140003,9.756669,1016.3533,1009.873,22.304996,12.713331,1.2866672,0.0,50.04834,0,0,1,0,0,0,0
42200,2019-01-30,17:02:59,-12.158337,-14.743336,1002.8994,1006.19946,29.711662,15.426666,0.11000002,13.5,50.559998,0,1,1,1,0,0,0
104740,2019-01-30,17:02:59,0.5566667,-1.0416662,1017.6134,1022.3994,4.5933332,8.384997,0.059999958,0.0,64.775,0,0,1,0,0,0,0
160840,2019-01-30,17:02:59,5.1599984,-0.5600002,1007.0086,1013.722,5.0716662,5.016666,0.059999958,1.3000001,50.273315,0,0,1,1,0,0,0
727140,2019-01-30,17:02:59,-10.780004,-17.643324,1003.99945,1012.72205,22.481665,5.275001,0.13999997,50.5,97.50829,0,1,1,1,0,0,0
20890,2019-01-30,17:02:59,-1.1499997,-4.183336,994.3382,1025.0989,38.270008,29.354992,0.0,0.0,73.99165,0,1,0,0,0,0,0
146540,2019-01-30,17:02:59,2.3516667,1.7416667,947.6946,1024.0267,0.21833341,1.6449999,0.0,0.7000004,50.091667,0,0,0,1,0,0,0
766753,2019-01-30,17:02:59,0.7000004,-6.354998,1008.62537,1011.5,9.478331,6.26,0.119999915,0.0,50.165024,0,0,1,0,0,0,0
547140,2019-01-30,17:02:59,-7.45,-18.25,1031.7135,1029.8373,16.553335,7.883334,0.0,0.0,8.715002,0,1,0,0,0,0,0
601150,2019-01-30,17:02:59,16.199991,9.873331,1020.6755,1020.5437,14.776667,14.116667,0.009999995,0.0,50.351685,0,0,1,0,0,0,0
741450,2019-01-30,17:02:59,-31.865017,-34.976685,976.6672,1007.8733,15.741671,11.043333,0.0,29.019995,64.96833,0,1,0,1,0,0,0
30220,2019-01-30,17:02:59,6.3750024,3.8799999,998.8351,1005.30054,24.34333,26.886665,0.29000005,0.0,51.385002,0,0,1,0,0,0,0
115400,2019-01-30,17:02:59,0.91666645,0.44,955.09845,1015.3816,12.3499975,8.928333,0.0,0.0,50.765007,0,0,0,0,0,0,0
128700,2019-01-30,17:02:59,-1.1100003,-4.5800004,997.2702,1023.02954,7.678333,5.8833337,0.0,2.099999,50.12835,0,1,0,1,0,0,0
727135,2019-01-30,17:02:59,-5.6299963,-9.95,1035.945,1015.8915,13.168332,4.2266665,0.0,0.0,72.03835,0,1,0,0,0,0,0
477590,2019-01-30,17:02:59,-0.45833322,-5.183334,1011.5151,1018.0282,13.819998,9.518334,0.07999996,0.0,50.363327,0,1,1,0,0,0,0
285520,2019-01-30,17:02:59,-17.149994,-20.25,1021.1182,1022.8996,11.301668,9.701665,0.009999995,10.7000065,86.40665,0,1,1,1,0,0,0
727130,2019-01-30,17:02:59,-10.351666,-14.568335,1005.5623,1014.6779,31.436668,10.416667,0.0,0.0,92.038345,0,1,0,0,0,0,0
104750,2019-01-30,17:02:59,7.273333,2.4000008,1000.5318,1012.1402,7.138333,25.086668,0.03999998,0.0,77.35998,0,0,1,0,0,0,0
488230,2019-01-30,17:02:59,15.410001,12.473337,1016.5,1016.69946,10.0216675,7.9616632,0.009999995,0.0,70.48166,0,0,1,0,0,0,0
80550,2019-01-30,17:02:59,6.569998,2.2866664,914.3021,912.59875,12.028336,9.048333,0.09000002,0.09999994,82.00669,0,0,1,1,0,0,0
409480,2019-01-30,17:02:59,-4.545001,-11.549998,946.6166,1026.57,8.3550005,9.225003,0.01999999,0.7000004,50.42001,0,1,1,1,0,0,0
31540,2019-01-30,17:02:59,5.533331,3.5200002,991.33167,1000.4128,14.855,14.1833315,0.0,0.0,82.75832,0,0,0,0,0,0,0
134570,2019-01-30,17:02:59,8.464995,1.3433336,1012.64703,1013.8701,10.991668,7.303334,0.27999994,0.0,50.213326,0,0,1,0,0,0,0
789480,2019-01-30,17:02:59,13.815002,8.365004,1013.28143,1015.0,57.283348,21.200005,0.009999995,0.0,50.078335,0,0,1,0,0,0,0
20870,2019-01-30,17:02:59,-4.5,-6.0999966,1014.76,1004.9645,13.844999,8.031667,0.0,3.6000018,50.094997,0,1,0,1,0,0,0
313290,2019-01-30,17:02:59,-29.496649,-32.731674,991.0937,1000.1199,45.32166,4.9566665,0.01999999,8.91333,71.110016,0,1,1,1,0,0,0
477560,2019-01-30,17:02:59,-0.39999977,-4.483333,1000.51526,1018.9427,20.320007,7.7933345,0.03999998,0.0,66.043365,0,1,1,0,0,0,0
216110,2019-01-30,17:02:59,-31.486673,-33.61334,1020.1105,1019.2283,22.154997,24.393332,0.009999995,1.4000008,84.393326,0,1,1,1,0,0,0
536460,2019-01-30,17:02:59,-13.63334,-23.266657,928.3021,1034.3005,19.175,5.3299994,0.0,0.0,9.483332,0,1,0,0,0,0,0
535130,2019-01-30,17:02:59,-12.066667,-22.15,926.60046,1033.5403,22.184998,8.588335,0.0,0.0,42.813316,0,1,0,0,0,0,0
489550,2019-01-30,17:02:59,18.380003,10.020001,1003.9416,1011.18787,22.38833,6.769999,0.0,0.0,78.988304,0,0,0,0,0,0,0
272250,2019-01-30,17:02:59,-4.7566657,-7.1149983,1013.67786,1016.97986,9.128332,14.016669,0.04999997,8.399996,76.080025,0,1,1,1,0,0,0
104710,2019-01-30,17:02:59,-0.24999993,-2.8916676,1010.6431,1017.1155,6.7249994,12.601669,0.009999995,8.200005,92.713326,0,1,1,1,0,0,0
43500,2019-01-30,17:02:59,-1.3483338,-1.5149999,1022.00507,992.13354,0.84333336,41.768337,0.84466624,0.0,59.58834,0,1,1,0,0,0,0
727150,2019-01-30,17:02:59,-15.550007,-18.728338,992.8001,1012.70856,20.78834,9.796665,0.21000002,16.40001,50.615,0,1,1,1,0,0,0
104730,2019-01-30,17:02:59,-3.5549982,-6.8100023,981.718,1014.9301,4.7816668,22.281666,0.0,0.0,98.65998,0,1,0,0,0,0,0
20880,2019-01-30,17:02:59,-3.900001,-5.0300007,1030.648,1024.13,21.15333,6.58667,0.0,0.0,25.838337,0,1,0,0,0,0,0
977900,2019-01-30,17:02:59,19.158325,13.096669,1026.3014,1005.8478,10.715002,3.6283336,0.0,0.0,33.603317,0,0,0,0,0,0,0
626410,2019-01-30,17:02:59,16.22501,6.3350053,999.6718,1017.73505,14.586667,20.62833,0.0,0.0,84.08834,0,0,0,0,0,0,0
