stn,name,country,latitude,longitude,elevation
690020,DATSAV3VIRTSTATION(UNITEDSTATES),UNITEDSTATES,52.8,173.167,0
690070,FRITZSCHEAAF,UNITEDSTATES,36.683,-121.767,43
690140,ELTOROMCAS,UNITEDSTATES,33.676,-117.731,116.7
690150,TWENTYNINEPALMS,UNITEDSTATES,34.3,-116.167,626
690160,TUSTINMCAF,UNITEDSTATES,33.7,-117.833,18
690190,ABILENEDYESSAFB,UNITEDSTATES,32.433,-99.85,545
690230,WHIDBEYISLANDNAS,UNITEDSTATES,48.35,-122.65,14.3
690514,DATSAV3VIRTSTATION(UNITEDSTATES),UNITEDSTATES,52.8,173.167,0
691174,ABERDEENPVNGGRND,UNITEDSTATES,39.467,-76.167,18
691494,DATSAV3VIRTSTATION(UNITEDSTATES),UNITEDSTATES,52.8,173.167,0
691784,LAJES,UNITEDSTATES,38.767,-27.1,55
691810,TUZLA,UNITEDSTATES,44.533,18.717,0
697040,DATSAV3VIRTSTATION(UNITEDSTATES),UNITEDSTATES,52.8,173.167,0
697564,DATSAV3VIRTSTATION(UNITEDSTATES),UNITEDSTATES,52.8,173.167,0
698064,DATSAV3VIRTSTATION(UNITEDSTATES),UNITEDSTATES,52.8,173.167,0
699604,YUMAMCAS,UNITEDSTATES,32.65,-114.617,64.9
700001,PORTAGE,UNITEDSTATES,60.783,-148.833,29
700260,BARROWWPOST-WROGERSARPT,UNITEDSTATES,71.287,-156.763,4
700634,KUPARUKAIRPORT,UNITEDSTATES,70.317,-149.583,20
700637,DEADHORSE,UNITEDSTATES,70.192,-148.477,18.3
700860,BARTERISLAND(DEW),UNITEDSTATES,70.133,-143.633,11.9
701040,CAPELISBURNE(AWOS),UNITEDSTATES,68.883,-166.133,3
701043,POINTHOPE(AWOS),UNITEDSTATES,68.35,-166.8,4
701160,DATSAV3VIRTSTATION(UNITEDSTATES),UNITEDSTATES,52.8,173.167,0
701170,TINCITYAFS(AWOS),UNITEDSTATES,65.567,-167.917,83
701330,KOTZEBUERALPHWEINMEMORIAL,UNITEDSTATES,66.885,-162.597,4.9
701333,DEERING,UNITEDSTATES,66.083,-162.75,9
701486,NIVALINA,UNITEDSTATES,67.733,-164.55,3
701620,UMIAT,UNITEDSTATES,69.367,-152.133,81.1
701730,INDIANMTNAFSAWOS,UNITEDSTATES,66,-153.7,372
701740,BETTLESFIELD,UNITEDSTATES,66.916,-151.509,196
701780,TANANARALPHMCALHOUNMEMAP,UNITEDSTATES,65.174,-152.107,67.1
701940,FORTYUKON(AWOS),UNITEDSTATES,66.567,-145.267,135.6
702000,NOMEMUNICIPALARPT,UNITEDSTATES,64.513,-165.443,6.7
702031,MOSESPOINT,UNITEDSTATES,64.7,-162.05,6.1
702060,NORTHEASTCAPE,UNITEDSTATES,63.317,-168.967,9.1
702070,UNALAKLEET(AWOS),UNITEDSTATES,63.883,-160.8,4.6
702120,CAPEROMANZOFFAWOS,UNITEDSTATES,61.783,-166.033,123.1
702190,BETHELAIRPORT,UNITEDSTATES,60.786,-161.826,45.7
702220,GALENAA.,UNITEDSTATES,64.733,-156.933,49
702310,MCGRATHARPT,UNITEDSTATES,62.953,-155.603,103
702315,TATALINALRRS,UNITEDSTATES,62.883,-155.967,301
702350,SPARREVOHNAFS,UNITEDSTATES,61.1,-155.567,484
702490,PUNTILLA,UNITEDSTATES,62.1,-152.75,560
702510,TALKEETNASTATEARPT,UNITEDSTATES,62.322,-150.092,108.5
702590,KENAIMUNICIPALAP,UNITEDSTATES,60.58,-151.239,28
702600,NENANAMUNI(AMOS),UNITEDSTATES,64.55,-149.083,109.1
702610,FAIRBANKSINTLARPT,UNITEDSTATES,64.817,-147.855,138.4
702615,WAINWRIGHTAAF,UNITEDSTATES,64.833,-147.617,142
702640,SUMMITWSOAP,UNITEDSTATES,63.333,-149.133,734.3
702647,HEALYRIVERAIRPORT,UNITEDSTATES,63.883,-149.017,396
702650,FAIRBANKS/EIELSONA,UNITEDSTATES,64.65,-147.067,167
702670,BIGDELTAALLENAAF,UNITEDSTATES,63.995,-145.718,388.3
702700,FT.RICHARDSON/BRYA,UNITEDSTATES,61.267,-149.65,115
702710,GULKANAINTERMEDIATEFIELD,UNITEDSTATES,62.16,-145.458,481.3
702716,TAHNETAPASS,UNITEDSTATES,61.817,-147.55,900
702720,ANCHORAGE/ELMENDORF,UNITEDSTATES,61.25,-149.8,59
702725,LAKEHOODSEAPLANE,UNITEDSTATES,61.183,-149.967,22
702730,ANCHORAGEINTLAP,UNITEDSTATES,61.175,-149.993,40.2
702735,MERRILLFIELD,UNITEDSTATES,61.217,-149.85,42.1
702740,PALMERMUNICIPAL,UNITEDSTATES,61.6,-149.083,71
702750,VALDEZWSO,UNITEDSTATES,61.133,-146.35,11.3
702756,VALDEZPIONEERFIEL,UNITEDSTATES,61.133,-146.25,38
702757,WHITTIER,UNITEDSTATES,60.767,-148.683,9
702758,DEADHORSE,UNITEDSTATES,70.333,-150.933,5
702770,SEWARD,UNITEDSTATES,60.117,-149.45,18
702910,NORTHWAYAIRPORT,UNITEDSTATES,62.961,-141.946,524.6
702923,TANACROSS,UNITEDSTATES,63.383,-143.333,458.1
