station,date,time,temp,dewp,stp,slp,visib,wdsp,prcp,sndp,cldc,wnddir,frost,rain,snow,hail,thunder,tornado
723601,2019-01-23,13:11:59,-7.393335,984.0702,1017.0,29.121656,10.320002,0.009999995,0.0,95.22664,-0.19999988,117,true,true,false,false,false,false,
723600,2019-01-23,13:11:59,-11.699995,908.607,1018.68945,11.421665,15.721667,0.0,0.0,63.07,-1.7533338,309,true,false,false,false,false,false,
724930,2019-01-23,13:11:59,0.89500004,1010.5,1008.8266,18.731665,12.471666,0.03999998,0.0,91.89831,4.4550023,235,false,true,false,false,false,false,
724927,2019-01-23,13:11:59,-3.2316663,1029.8882,1020.4098,16.643337,12.831665,0.04999997,0.0,52.990005,1.3833336,79,false,true,false,false,false,false,
724926,2019-01-23,13:11:59,-2.766668,1010.473,1011.8219,16.259998,1.7649999,0.03999998,0.0,69.194984,1.3099998,117,false,true,false,false,false,false,
724920,2019-01-23,13:11:59,-1.850001,1020.6006,1021.3994,27.471674,14.795,0.13000008,0.0,72.47164,2.0266664,217,false,true,false,false,false,false,
724917,2019-01-23,13:11:59,-1.1800001,1018.7499,1019.69946,30.255007,21.105003,0.07999996,0.0,50.183323,3.3666682,61,false,true,false,false,false,false,
724916,2019-01-23,13:11:59,-3.599998,1011.3434,1022.53656,48.16166,9.901662,0.0,0.0,36.700005,2.874999,165,false,false,false,false,false,false,
724915,2019-01-23,13:11:59,-2.1999993,1009.5413,1005.8122,29.521666,2.8733332,0.04999997,0.0,50.068333,2.5416682,353,false,true,false,false,false,false,
727135,2019-01-23,13:11:59,-16.960001,1018.3216,1016.5719,13.791662,12.739997,0.04999997,0.0,89.60501,-11.8600025,77,true,true,false,false,false,false,
727130,2019-01-23,13:11:59,-17.315,995.5765,1010.94104,31.419992,16.495,0.0,0.0,20.278337,-14.425008,241,true,false,false,false,false,false,
723663,2019-01-23,13:11:59,-11.264998,986.0989,990.92175,12.541662,9.905002,0.0,0.0,33.899998,-8.320002,155,true,false,false,false,false,false,
722332,2019-01-23,13:11:59,-32.92502,1003.4035,1000.1386,16.664995,8.004999,0.0,0.0,82.33503,-28.773325,247,true,false,false,false,false,false,
722334,2019-01-23,13:11:59,7.655002,1011.0465,1002.5316,7.854997,13.138335,0.0,0.0,46.52333,7.920004,234,false,false,false,false,false,false,
723658,2019-01-23,13:11:59,-8.463332,974.8583,1019.32654,33.70334,9.3583355,0.009999995,0.19999988,53.463333,-3.630001,271,true,true,true,false,false,false,
724988,2019-01-23,13:11:59,-16.37333,1027.4484,1016.5,14.586668,7.5666676,0.0,0.0,21.559992,-10.940004,34,true,false,false,false,false,false,
722320,2019-01-23,13:11:59,3.4250002,1019.6682,1019.80054,15.796662,18.111666,0.13000008,0.0,50.673332,6.9750037,304,false,true,false,false,false,false,
723650,2019-01-23,13:11:59,-10.646663,852.8005,1018.80054,65.48668,9.036668,0.0,0.09999994,66.84166,-1.0900002,48,true,false,true,false,false,false,
722324,2019-01-23,13:11:59,-3.1683323,994.8018,978.5099,12.306667,6.846664,0.0,0.0,51.854984,-0.39999977,27,true,false,false,false,false,false,
723656,2019-01-23,13:11:59,-11.403332,955.138,1007.74664,49.461662,14.871668,0.009999995,0.0,93.36665,-2.705001,221,true,true,false,false,false,false,
723654,2019-01-23,13:11:59,-12.668334,997.6186,958.42847,12.223331,0.1883334,0.0,0.0,88.06335,-0.6000001,297,true,false,false,false,false,false,
722317,2019-01-23,13:11:59,0.35999995,1016.69946,1020.19946,15.266664,15.053328,0.18000004,0.0,50.461662,5.8266683,263,false,true,false,false,false,false,
722315,2019-01-23,13:11:59,4.1450005,1021.79865,1019.7012,16.600002,15.3966675,0.23999983,0.0,50.88667,9.175,217,false,true,false,false,false,false,
