station,date,time,temp,dewp,stp,slp,visib,wdsp,prcp,sndp,cldc,wnddir,frost,rain,snow,hail,thunder,tornado
286880,2019-01-23,13:11:59,-18.699993,1025.9451,1031.5186,19.540005,10.421666,0.01999999,11.2999935,50.218315,-15.85333,48,true,true,true,false,false,false,
160880,2019-01-23,13:11:59,-2.3849993,1011.12823,1024.48,3.623334,3.260002,0.13999997,0.09999994,78.051704,-0.19999988,211,true,true,true,false,false,false,
476290,2019-01-23,13:11:59,-10.480001,1009.27893,1012.16986,37.604996,10.746667,0.119999915,0.0,90.47336,-3.7799978,198,true,true,false,false,false,false,
30260,2019-01-23,13:11:59,-0.45833355,1006.3318,1006.49493,21.62666,41.713345,0.25,0.09999994,94.04001,1.7466663,210,false,true,true,false,false,false,
31590,2019-01-23,13:11:59,3.9233344,1000.4194,1027.8005,12.813333,12.648332,0.0,0.0,84.89165,4.4133344,219,false,false,false,false,false,false,
523130,2019-01-23,13:11:59,-17.49999,930.16833,913.76495,57.954994,3.1750004,0.069999985,0.0,50.26335,-11.421662,128,true,true,false,false,false,false,
766793,2019-01-23,13:11:59,-6.4999976,1001.3585,1006.198,12.464997,4.3166666,0.0,0.0,55.14501,6.1349998,118,false,false,false,false,false,false,
727180,2019-01-23,13:11:59,-25.110012,997.00354,1001.4666,0.8516668,27.561665,0.93000025,49.970005,55.27334,-21.234991,217,true,true,true,false,false,false,
766790,2019-01-23,13:11:59,-5.691665,780.3005,1013.6006,9.068334,13.094996,0.009999995,0.0,55.870003,5.27,188,false,true,false,false,false,false,
915650,2019-01-23,13:11:59,19.820002,987.2769,1004.1006,21.626665,2.4416673,0.22999981,0.0,50.66668,20.785,181,false,true,false,false,false,false,
637140,2019-01-23,13:11:59,-8.555005,1010.9813,993.62006,25.558332,10.961667,0.0,0.0,94.35499,5.8416667,79,false,false,false,false,false,false,
524460,2019-01-23,13:11:59,-17.291666,938.1005,1035.1995,39.759995,11.334998,0.009999995,0.0,50.605,-8.141663,275,true,true,false,false,false,false,
548430,2019-01-23,13:11:59,-14.583333,1027.4568,1028.5,15.873333,7.321667,0.009999995,0.0,52.628315,-7.093335,140,true,true,false,false,false,false,
916990,2019-01-23,13:11:59,16.11,982.99316,1010.1006,48.20167,11.441666,0.0,0.0,69.22503,19.019999,171,false,false,false,false,false,false,
259270,2019-01-23,13:11:59,-23.525007,1005.80334,1006.33344,30.873327,9.250001,0.04999997,13.099995,53.291664,-20.741663,156,true,true,true,false,false,false,
319420,2019-01-23,13:11:59,-23.150013,1039.9064,1001.24817,42.888344,17.856665,0.11000002,0.0,89.3133,-19.299994,105,true,true,false,false,false,false,
206740,2019-01-23,13:11:59,-13.286671,1010.44135,1010.6006,10.579999,30.735008,0.059999958,5.7000017,82.90998,-11.236659,350,true,true,true,false,false,false,
513790,2019-01-23,13:11:59,-17.558329,1023.19464,1038.6006,25.093328,7.633336,0.009999995,0.0,68.94497,-14.33167,233,true,true,false,false,false,false,
408110,2019-01-23,13:11:59,4.231667,1013.80054,1016.5,12.279999,3.7949998,0.0,0.0,51.936657,9.455001,82,false,false,false,false,false,false,
421110,2019-01-23,13:11:59,9.07833,935.80054,1014.8994,3.4916658,5.3816667,0.5800001,0.0,52.25665,13.126668,357,false,true,false,false,false,false,
349290,2019-01-23,13:11:59,-2.3750005,1017.85486,1018.4315,8.178334,12.8049965,0.29000005,1.2000002,51.77667,0.17,246,true,true,true,false,false,false,
764120,2019-01-23,13:11:59,-2.0466678,1012.0,1015.3994,16.718332,7.741667,0.0,0.0,42.70333,6.2000027,276,false,false,false,false,false,false,
273550,2019-01-23,13:11:59,-11.358337,1013.30054,1018.19946,18.965002,11.913334,0.04999997,3.699998,50.359997,-9.174997,289,true,true,true,false,false,false,
764125,2019-01-23,13:11:59,-2.1333334,996.6399,1034.6367,18.005003,11.363331,0.0,0.0,54.068348,5.7516656,1,false,false,false,false,false,false,
30250,2019-01-23,13:11:59,-1.6533341,1009.4234,1006.5133,26.856667,46.90167,0.0,0.0,76.69337,1.2933336,24,false,false,false,false,false,false,
81840,2019-01-23,13:11:59,-3.200002,1004.27527,1017.0,11.199998,3.1883333,0.119999915,0.0,51.25167,1.6299992,224,false,true,false,false,false,false,
104700,2019-01-23,13:11:59,-2.613334,1017.92645,1016.1006,2.4716668,19.038334,0.09999994,0.0,73.98497,-0.7000004,131,true,true,false,false,false,false,
727170,2019-01-23,13:11:59,-24.981663,988.9799,1007.63336,19.609997,19.070002,0.27999994,39.099995,50.249996,-20.626675,300,true,true,true,false,false,false,
93850,2019-01-23,13:11:59,-2.6000009,1019.43317,1014.5955,7.6166673,14.044996,0.07999996,0.7000004,90.36831,-0.8566666,215,true,true,true,false,false,false,
262890,2019-01-23,13:11:59,-6.5550036,1012.65485,1019.21466,8.510001,18.68,0.04999997,0.0,78.3283,-4.1533337,5,true,true,false,false,false,false,
206750,2019-01-23,13:11:59,-24.540009,1043.8005,1046.1006,24.433332,23.46333,0.0,8.200005,50.06834,-20.060007,63,true,false,true,false,false,false,
723601,2019-01-23,13:11:59,-7.393335,984.0702,1017.0,29.121656,10.320002,0.009999995,0.0,95.22664,-0.19999988,117,true,true,false,false,false,false,
723600,2019-01-23,13:11:59,-11.699995,908.607,1018.68945,11.421665,15.721667,0.0,0.0,63.07,-1.7533338,309,true,false,false,false,false,false,
724930,2019-01-23,13:11:59,0.89500004,1010.5,1008.8266,18.731665,12.471666,0.03999998,0.0,91.89831,4.4550023,235,false,true,false,false,false,false,
297560,2019-01-23,13:11:59,-16.013336,998.05835,1020.59296,26.75,14.321668,0.0,1.0999993,52.63666,-8.600004,260,true,false,true,false,false,false,
488260,2019-01-23,13:11:59,4.52,1006.1954,1017.8994,2.0900004,9.468332,0.04999997,0.0,53.334984,7.2200003,134,false,true,false,false,false,false,
30240,2019-01-23,13:11:59,0.9749994,989.9564,970.30505,20.526665,72.08667,0.0,0.0,89.71001,3.2166686,243,false,false,false,false,false,false,
724927,2019-01-23,13:11:59,-3.2316663,1029.8882,1020.4098,16.643337,12.831665,0.04999997,0.0,52.990005,1.3833336,79,false,true,false,false,false,false,
724926,2019-01-23,13:11:59,-2.766668,1010.473,1011.8219,16.259998,1.7649999,0.03999998,0.0,69.194984,1.3099998,117,false,true,false,false,false,false,
157260,2019-01-23,13:11:59,-9.524999,820.092,819.2281,19.238335,12.361663,0.04999997,15.5,52.06834,-5.9000034,110,true,true,true,false,false,false,
29240,2019-01-23,13:11:59,-4.979999,1005.82007,1009.35046,12.546673,7.1183352,0.069999985,9.299994,52.094994,-3.35,223,true,true,true,false,false,false,
307410,2019-01-23,13:11:59,-17.299995,965.8336,1033.2379,48.230022,17.531672,0.009999995,12.299993,50.79166,-14.89166,124,true,true,true,false,false,false,
170220,2019-01-23,13:11:59,-2.939999,1015.4869,1020.9028,19.80667,9.865,0.07999996,0.09999994,69.80164,3.263333,49,false,true,true,false,false,false,
171550,2019-01-23,13:11:59,-4.8500032,897.9412,1016.36646,11.514998,5.0466695,0.5,5.3999968,50.651665,-3.2200007,228,true,true,true,false,false,false,
247260,2019-01-23,13:11:59,-29.84165,997.5755,998.15,9.515,12.41666,0.0,0.0,55.87165,-28.468342,168,true,false,false,false,false,false,
42210,2019-01-23,13:11:59,-10.838337,1003.30054,1006.1586,28.453337,22.07667,0.0,0.0,2.8916674,-3.225,331,true,false,false,false,false,false,
121250,2019-01-23,13:11:59,-2.7066662,1011.483,1016.7248,10.481665,15.715005,0.03999998,0.09999994,52.14165,-0.48999998,156,true,true,true,false,false,false,
724920,2019-01-23,13:11:59,-1.850001,1020.6006,1021.3994,27.471674,14.795,0.13000008,0.0,72.47164,2.0266664,217,false,true,false,false,false,false,
423790,2019-01-23,13:11:59,11.023332,1022.20856,1017.8994,3.3183324,1.2499996,0.0,0.0,3.9183319,16.89333,41,false,false,false,false,false,false,
724917,2019-01-23,13:11:59,-1.1800001,1018.7499,1019.69946,30.255007,21.105003,0.07999996,0.0,50.183323,3.3666682,61,false,true,false,false,false,false,
724916,2019-01-23,13:11:59,-3.599998,1011.3434,1022.53656,48.16166,9.901662,0.0,0.0,36.700005,2.874999,165,false,false,false,false,false,false,
30230,2019-01-23,13:11:59,0.82499963,1004.91345,1006.6931,9.761669,50.616673,0.25,0.0,53.233326,2.2700002,96,false,true,false,false,false,false,
724915,2019-01-23,13:11:59,-2.1999993,1009.5413,1005.8122,29.521666,2.8733332,0.04999997,0.0,50.068333,2.5416682,353,false,true,false,false,false,false,
157250,2019-01-23,13:11:59,-21.128334,813.8203,826.4632,36.665,8.190002,0.0,19.81833,64.526665,-1.1383332,320,true,false,true,false,false,false,
970480,2019-01-23,13:11:59,11.59667,968.95996,1008.0,12.656671,4.9399996,0.0,0.0,87.6,14.30167,90,false,false,false,false,false,false,
915680,2019-01-23,13:11:59,15.373338,1006.42664,1007.80054,26.42666,13.015001,0.119999915,0.0,50.858337,18.683329,219,false,true,false,false,false,false,
